id,asset_name,asset_type,distribution_asset,timestamp,survival_probability
240979,l(r:p49udm22105-p49ulv59572),distribution_overhead_lines,fd2f78c0-ce36-482d-b0a5-6649f03cf8cd,1961-09-12T06:00:00,0.22912593652123436
240980,l(r:p49udm22105-p49ulv59572),distribution_overhead_lines,fd2f78c0-ce36-482d-b0a5-6649f03cf8cd,1961-09-12T07:00:00,0.93023978405761
240981,l(r:p49udm22105-p49ulv59572),distribution_overhead_lines,fd2f78c0-ce36-482d-b0a5-6649f03cf8cd,1961-09-12T08:00:00,0.7868493211395635
241030,l(r:p49udm22103-p49udm22105),distribution_overhead_lines,5e60cf77-3c02-418c-8fed-dac16db3a424,1961-09-12T05:00:00,0.9999999950626814
241031,l(r:p49udm22103-p49udm22105),distribution_overhead_lines,5e60cf77-3c02-418c-8fed-dac16db3a424,1961-09-12T06:00:00,0.22942030904064747
241032,l(r:p49udm22103-p49udm22105),distribution_overhead_lines,5e60cf77-3c02-418c-8fed-dac16db3a424,1961-09-12T07:00:00,0.929135260244765
241033,l(r:p49udm22103-p49udm22105),distribution_overhead_lines,5e60cf77-3c02-418c-8fed-dac16db3a424,1961-09-12T08:00:00,0.7869314159536652
241082,l(r:p49udm22103-p49udm22106),distribution_overhead_lines,2c131603-e25d-4d86-96a2-ca23bd625ac5,1961-09-12T05:00:00,0.999999995112557
241083,l(r:p49udm22103-p49udm22106),distribution_overhead_lines,2c131603-e25d-4d86-96a2-ca23bd625ac5,1961-09-12T06:00:00,0.22943450244667685
241084,l(r:p49udm22103-p49udm22106),distribution_overhead_lines,2c131603-e25d-4d86-96a2-ca23bd625ac5,1961-09-12T07:00:00,0.9296422077628568
241085,l(r:p49udm22103-p49udm22106),distribution_overhead_lines,2c131603-e25d-4d86-96a2-ca23bd625ac5,1961-09-12T08:00:00,0.7878942613275086
241134,l(r:p49udm22106-p49udt7654lv),distribution_overhead_lines,364ebf72-0202-4cc9-9f77-1d4ff9f96d25,1961-09-12T05:00:00,0.9999999954747687
241135,l(r:p49udm22106-p49udt7654lv),distribution_overhead_lines,364ebf72-0202-4cc9-9f77-1d4ff9f96d25,1961-09-12T06:00:00,0.22975440532893576
241136,l(r:p49udm22106-p49udt7654lv),distribution_overhead_lines,364ebf72-0202-4cc9-9f77-1d4ff9f96d25,1961-09-12T07:00:00,0.9302267953524517
241137,l(r:p49udm22106-p49udt7654lv),distribution_overhead_lines,364ebf72-0202-4cc9-9f77-1d4ff9f96d25,1961-09-12T08:00:00,0.7910398314425474
